appid,name,genre_category,discount_start,discount_end,discount_pct,duration_days
105600,Terraria,Action,2024-05-27,2024-06-03,50,7
105600,Terraria,Action,2024-06-27,2024-07-11,50,13
105600,Terraria,Action,2024-11-27,2024-12-04,50,6
105600,Terraria,Action,2024-12-19,2025-01-02,50,13
105600,Terraria,Action,2025-03-13,2025-03-20,50,6
105600,Terraria,Action,2025-04-10,2025-04-14,50,4
105600,Terraria,Action,2025-06-26,2025-07-10,50,13
105600,Terraria,Action,2025-09-29,2025-10-06,50,6
105600,Terraria,Action,2025-12-18,2026-01-05,50,18
105600,Terraria,Action,2026-03-19,2026-03-26,50,6
252490,Rust,Action,2024-05-27,2024-06-03,50,7
252490,Rust,Action,2024-06-27,2024-07-11,33,13
252490,Rust,Action,2024-07-15,2024-07-22,50,7
252490,Rust,Action,2024-10-03,2024-10-08,40,5
252490,Rust,Action,2024-11-07,2024-11-09,40,2
252490,Rust,Action,2024-11-27,2024-12-04,40,6
252490,Rust,Action,2024-12-09,2025-01-02,50,24
252490,Rust,Action,2025-02-06,2025-02-08,50,1
252490,Rust,Action,2025-03-13,2025-03-20,40,6
252490,Rust,Action,2025-03-24,2025-04-01,40,7
252490,Rust,Action,2025-05-01,2025-05-03,50,1
252490,Rust,Action,2025-06-26,2025-07-10,40,13
252490,Rust,Action,2025-08-07,2025-08-14,50,7
252490,Rust,Action,2025-09-29,2025-10-06,50,6
252490,Rust,Action,2025-10-23,2025-11-06,40,13
252490,Rust,Action,2025-12-08,2026-01-05,50,28
252490,Rust,Action,2026-02-05,2026-02-19,50,13
252490,Rust,Action,2026-03-19,2026-03-26,50,6
252490,Rust,Action,2026-04-27,2026-05-11,50,14
2358720,Black Myth: Wukong,RPG,2025-06-20,2025-07-10,20,20
2358720,Black Myth: Wukong,RPG,2026-02-09,2026-02-23,25,13
1245620,ELDEN RING,RPG,2024-06-27,2024-07-11,30,13
1245620,ELDEN RING,RPG,2024-09-19,2024-09-26,30,7
1245620,ELDEN RING,RPG,2024-12-19,2025-01-02,40,13
1245620,ELDEN RING,RPG,2025-03-13,2025-03-20,40,6
1245620,ELDEN RING,RPG,2025-06-26,2025-07-10,40,13
1245620,ELDEN RING,RPG,2025-12-18,2026-01-05,35,18
1245620,ELDEN RING,RPG,2026-03-19,2026-03-26,35,7
553850,HELLDIVERS 2,Action,2024-09-12,2024-09-19,20,7
553850,HELLDIVERS 2,Action,2024-11-27,2024-12-04,20,6
553850,HELLDIVERS 2,Action,2024-12-12,2024-12-18,20,5
553850,HELLDIVERS 2,Action,2024-12-19,2025-01-02,20,13
553850,HELLDIVERS 2,Action,2025-02-06,2025-02-12,20,5
