appid,discount_start,playtime_filter,positive_count_before,negative_count_before,positive_count_during,negative_count_during,before_days,during_days,response_rate_positive,response_rate_negative,positive_rate_before,positive_rate_during,positive_rate_delta,sentiment_group
105600,2026-03-19,all,13430,559,2861,136,30,7,-0.087012,0.042678,0.96004,0.954621,-0.005419,down
252490,2026-03-19,all,11801,2106,2648,446,30,7,-0.038338,-0.092389,0.848565,0.85585,0.007285,up
2358720,2026-02-09,all,2178,196,2538,296,30,14,1.497048,2.236152,0.917439,0.895554,-0.021885,down
1245620,2026-03-19,all,5706,453,1896,184,30,7,0.424065,0.740776,0.926449,0.911538,-0.014911,down
553850,2026-03-19,all,10178,4873,2048,690,30,7,-0.137636,-0.393158,0.676234,0.747991,0.071757,up
550,2026-03-19,all,5940,172,2001,61,30,7,0.443723,0.519934,0.971859,0.970417,-0.001442,neutral
381210,2026-03-17,all,5423,1477,2459,677,30,9,0.511464,0.527872,0.785942,0.78412,-0.001822,neutral
739630,2026-01-17,all,5675,450,2300,187,30,14,-0.131529,-0.109524,0.926531,0.924809,-0.001722,neutral
739630,2026-03-19,all,4503,356,1285,107,30,9,-0.048782,0.001873,0.926734,0.923132,-0.003602,neutral
413150,2026-03-19,all,2282,35,3444,61,30,7,5.468011,6.469388,0.984894,0.982596,-0.002298,neutral
1091500,2026-02-12,all,7257,439,2553,144,30,10,0.055395,-0.015945,0.942957,0.946607,0.00365,neutral
1091500,2026-03-19,all,6787,355,2147,123,30,7,0.355743,0.484909,0.950294,0.945815,-0.004479,neutral
1086940,2026-02-26,all,6382,331,773,53,30,4,-0.091586,0.200906,0.950693,0.935835,-0.014857,down
1086940,2026-03-19,all,5649,300,1309,76,30,7,-0.006904,0.085714,0.949571,0.945126,-0.004445,neutral
218620,2025-06-05,all,985,107,413,29,30,7,0.796954,0.161549,0.902015,0.934389,0.032374,up
218620,2025-06-27,all,1494,109,658,63,30,13,0.016373,0.333804,0.932002,0.912621,-0.019381,down
218620,2025-07-13,all,1529,120,705,72,30,14,-0.011959,0.285714,0.927229,0.907336,-0.019893,down
218620,2025-09-25,all,796,308,777,1458,30,11,1.662175,11.910272,0.721014,0.347651,-0.373363,down
218620,2025-11-21,all,929,144,640,60,30,14,0.476242,-0.107143,0.865797,0.914286,0.048489,up
218620,2025-12-18,all,1062,118,2301,253,30,18,2.611111,2.573446,0.9,0.90094,0.00094,neutral
218620,2026-01-15,all,3233,335,842,78,30,14,-0.441916,-0.501066,0.90611,0.915217,0.009108,up
218620,2026-02-28,all,1286,135,631,52,30,14,0.051433,-0.174603,0.904996,0.923865,0.018869,up
218620,2026-03-19,all,1257,122,278,26,30,7,-0.052165,-0.086651,0.91153,0.914474,0.002944,neutral
892970,2025-12-18,all,5495,252,1816,218,30,18,-0.449196,0.441799,0.956151,0.892822,-0.063329,down
892970,2026-01-20,all,2994,364,1658,221,30,14,0.186659,0.30102,0.891602,0.882384,-0.009218,down
892970,2026-03-05,all,2782,429,2289,277,30,21,0.175413,-0.077589,0.866397,0.89205,0.025653,up
322330,2025-12-18,all,7694,231,1984,218,30,18,-0.570228,0.572872,0.970852,0.900999,-0.069853,down
322330,2026-02-12,all,1980,249,627,74,30,7,0.357143,0.273666,0.888291,0.894437,0.006146,up
322330,2026-03-19,all,2149,242,590,62,30,7,0.176627,0.097993,0.898787,0.904908,0.006121,up
377160,2025-12-18,all,1866,2203,1733,896,30,18,0.547874,-0.322136,0.458589,0.659186,0.200597,up
377160,2026-01-28,all,3096,1162,1329,343,30,9,0.430879,-0.016064,0.727102,0.794856,0.067755,up
377160,2026-03-19,all,2267,417,418,70,30,7,-0.20978,-0.280576,0.844635,0.856557,0.011923,up
1623730,2025-12-04,all,6322,194,4206,273,30,32,-0.376285,0.319265,0.970227,0.939049,-0.031178,down
1623730,2026-02-12,all,3095,224,1452,77,30,12,0.172859,-0.140625,0.93251,0.94964,0.01713,up
4000,2026-03-19,all,9423,283,2099,58,30,7,-0.045345,-0.121656,0.970843,0.973111,0.002268,neutral
227300,2026-02-19,all,7871,339,2798,135,30,7,0.523495,0.7067,0.958709,0.953972,-0.004737,neutral
227300,2026-03-19,all,8617,394,1987,73,30,7,-0.011754,-0.205946,0.956276,0.964563,0.008287,up
242760,2026-03-19,all,2886,145,1578,85,30,7,1.343332,1.512315,0.952161,0.948888,-0.003273,neutral
251570,2025-08-25,all,2282,2233,939,279,30,14,-0.118255,-0.732263,0.505426,0.770936,0.26551,up
251570,2025-09-29,all,1788,455,459,94,30,7,0.100192,-0.1146,0.797147,0.830018,0.032871,up
