appid,name,genre_category,release_date,total_reviews,positive,negative,steam_genres,price_usd,is_multiplayer
105600,Terraria,Action,2011-05-16,1409473,1373979,35494,"Action,Adventure,Indie,RPG",9.99,True
252490,Rust,Action,2018-02-08,1227784,1071135,156649,"Action,Adventure,Indie,Massively Multiplayer,RPG",39.99,True
2358720,Black Myth: Wukong,RPG,2024-08-19,1150098,1111720,38378,"Action,Adventure,RPG",59.99,False
1245620,ELDEN RING,RPG,2022-02-24,1056677,981540,75137,"Action,RPG",59.99,True
553850,HELLDIVERS 2,Action,2024-02-08,1017635,775883,241752,Action,39.99,True
550,Left 4 Dead 2,Action,2009-11-16,963983,940221,23762,Action,9.99,True
381210,Dead by Daylight,Action,2016-06-14,797216,630223,166993,Action,19.99,True
739630,Phasmophobia,Action,2020-09-18,768779,736611,32168,"Action,Indie,Early Access",19.99,True
1174180,Red Dead Redemption 2,Action,2019-12-05,733542,676667,56875,"Action,Adventure",59.99,True
346110,ARK: Survival Evolved,Action,2017-08-27,730170,612177,117993,"Action,Adventure,Indie,Massively Multiplayer,RPG",14.99,True
413150,Stardew Valley,Casual/Lightweight,2016-02-26,886195,872384,13811,"Indie,RPG,Simulation",14.99,True
1091500,Cyberpunk 2077,RPG,2020-12-09,844921,713071,131850,RPG,59.99,False
292030,The Witcher 3: Wild Hunt,,2015-05-18,835349,802993,32356,RPG,39.99,False
1086940,Baldur's Gate 3,RPG,2023-08-03,760662,736688,23974,"Adventure,RPG,Strategy",59.99,True
218620,PAYDAY 2,Action,2013-08-13,663082,594327,68755,"Action,RPG",9.99,True
892970,Valheim,RPG,2021-02-02,499828,471451,28377,"Action,Adventure,Indie,RPG,Early Access",19.99,True
322330,Don't Starve Together,RPG,2016-04-21,499061,475393,23668,"Action,Adventure,Indie,RPG,Simulation,Strategy",14.99,True
239140,Dying Light,RPG,2015-01-26,457632,435687,21945,"Action,RPG",24.99,True
377160,Fallout 4,RPG,2015-11-09,392287,326054,66233,RPG,19.99,False
1623730,Palworld,RPG,2024-01-18,380709,358266,22443,"Action,Adventure,Indie,RPG,Early Access",29.99,True
4000,Garry's Mod,Strategy/Simulation,2006-11-29,1159707,1122546,37161,"Casual,Indie,Simulation",9.99,True
227300,Euro Truck Simulator 2,Strategy/Simulation,2012-10-12,867404,844480,22924,"Indie,Simulation",19.99,True
242760,The Forest,Strategy/Simulation,2018-04-30,627791,599805,27986,"Action,Adventure,Indie,Simulation",19.99,True
108600,Project Zomboid,Strategy/Simulation,2013-11-08,377063,355171,21892,"Indie,RPG,Simulation,Early Access",19.99,True
251570,7 Days to Die,Strategy/Simulation,2024-07-25,370046,327889,42157,"Action,Adventure,Indie,RPG,Simulation,Strategy",44.99,True
960090,Bloons TD 6,Strategy/Simulation,2018-12-17,353960,344269,9691,Strategy,13.99,True
289070,Sid Meier’s Civilization VI,Strategy/Simulation,2016-10-20,349920,304053,45867,Strategy,59.99,True
648800,Raft,Strategy/Simulation,2022-06-20,346359,323198,23161,"Adventure,Indie,Simulation",19.99,True
394360,Hearts of Iron IV,Strategy/Simulation,2016-06-06,342150,305168,36982,"Simulation,Strategy",49.99,True
284160,BeamNG.drive,Strategy/Simulation,2015-05-29,322278,313873,8405,"Racing,Simulation,Early Access",24.99,False
1966720,Lethal Company,Adventure,2023-10-23,487160,473422,13738,"Action,Adventure,Indie,Early Access",9.99,True
620,Portal 2,Adventure,2011-04-18,433510,427835,5675,"Action,Adventure",9.99,True
221100,DayZ,Adventure,2018-12-13,430252,330349,99903,"Action,Adventure,Massively Multiplayer",49.99,True
367520,Hollow Knight,Adventure,2017-02-24,415946,403641,12305,"Action,Adventure,Indie",14.99,False
1172620,Sea of Thieves: 2025 Edition,Adventure,2020-06-03,355238,317074,38164,"Action,Adventure",39.99,True
275850,No Man's Sky,Adventure,2016-08-12,352858,293332,59526,"Action,Adventure",59.99,True
