appid,name,genre_category,tags_top10
105600,Terraria,Action,"Open World Survival Craft,Sandbox,Survival,2D,Multiplayer,Adventure,Pixel Graphics,Crafting,Building,Exploration"
252490,Rust,Action,"Survival,Crafting,Multiplayer,Open World,Open World Survival Craft,Building,PvP,Sandbox,Adventure,First-Person"
2358720,Black Myth: Wukong,Action,"Mythology,Action RPG,Action,Souls-like,RPG,Combat,Story Rich,Singleplayer,Action-Adventure,Drama"
1245620,ELDEN RING,Action,"Souls-like,Open World,Dark Fantasy,RPG,Difficult,Action RPG,Third Person,Multiplayer,Fantasy,Singleplayer"
553850,HELLDIVERS 2,Action,"Online Co-Op,PvE,Third-Person Shooter,Multiplayer,Action,Shooter,Co-op,Sci-fi,Capitalism,Space"
550,Left 4 Dead 2,Action,"Zombies,Co-op,FPS,Multiplayer,Shooter,Online Co-Op,Action,Survival,Horror,First-Person"
381210,Dead by Daylight,Action,"Horror,Multiplayer,Survival Horror,Online Co-Op,Co-op,Survival,Gore,Team-Based,Blood,Stealth"
739630,Phasmophobia,Action,"Horror,Online Co-Op,Multiplayer,Psychological Horror,Co-op,Supernatural,VR,First-Person,Investigation,Dark"
1174180,Red Dead Redemption 2,Action,"Open World,Story Rich,Western,Adventure,Multiplayer,Action,Realistic,Singleplayer,Shooter,Atmospheric"
346110,ARK: Survival Evolved,Action,"Open World Survival Craft,Survival,Multiplayer,Open World,Dinosaurs,Crafting,Building,Adventure,Base-Building,Co-op"
413150,Stardew Valley,RPG,"Farming Sim,Pixel Graphics,Multiplayer,Life Sim,RPG,Relaxing,Agriculture,Simulation,Crafting,Sandbox"
1091500,Cyberpunk 2077,RPG,"Cyberpunk,Open World,Nudity,RPG,Singleplayer,Sci-fi,FPS,Story Rich,Mature,Futuristic"
1086940,Baldur's Gate 3,RPG,"RPG,Character Customization,Choices Matter,Story Rich,Turn-Based Combat,Dungeons & Dragons,CRPG,Fantasy,Adventure,Sexual Content"
218620,PAYDAY 2,RPG,"Co-op,Action,FPS,Heist,Multiplayer,Looter Shooter,Online Co-Op,Stealth,Crime,Shooter"
892970,Valheim,RPG,"Open World Survival Craft,Survival,Online Co-Op,Open World,Multiplayer,Building,Crafting,Base-Building,Exploration,Co-op"
322330,Don't Starve Together,RPG,"Survival,Open World Survival Craft,Multiplayer,Co-op,Open World,Adventure,Crafting,Online Co-Op,Sandbox,Difficult"
239140,Dying Light,RPG,"Zombies,Survival Horror,Horror,Online Co-Op,Open World,Parkour,First-Person,Survival,Open World Survival Craft,Gore"
377160,Fallout 4,RPG,"Open World,Post-apocalyptic,Singleplayer,Exploration,RPG,Adventure,Atmospheric,Shooter,First-Person,Story Rich"
1623730,Palworld,RPG,"Open World,Survival,Creature Collector,Multiplayer,Open World Survival Craft,Online Co-Op,Crafting,Co-op,Adventure,Base-Building"
4000,Garry's Mod,Strategy/Simulation,"Sandbox,Moddable,Multiplayer,Physics,Building,Casual,Funny,First-Person,Singleplayer,FPS"
227300,Euro Truck Simulator 2,Strategy/Simulation,"Driving,Transportation,Simulation,Open World,Automobile Sim,Realistic,Moddable,Relaxing,Exploration,Economy"
242760,The Forest,Strategy/Simulation,"Open World Survival Craft,Survival,Open World,Horror,Crafting,Adventure,Building,Survival Horror,First-Person,Action"
108600,Project Zomboid,Strategy/Simulation,"Survival,Zombies,Open World,Multiplayer,Open World Survival Craft,Sandbox,Post-apocalyptic,Co-op,Crafting,Building"
251570,7 Days to Die,Strategy/Simulation,"Survival,Zombies,Multiplayer,Open World,Open World Survival Craft,Base-Building,Post-apocalyptic,Voxel,Online Co-Op,Building"
960090,Bloons TD 6,Strategy/Simulation,"Tower Defense,Strategy,Multiplayer,Singleplayer,Online Co-Op,Co-op,Family Friendly,Casual,3D,Cartoony"
289070,Sid Meier’s Civilization VI,Strategy/Simulation,"Strategy,Turn-Based Strategy,Multiplayer,Historical,Grand Strategy,Singleplayer,Turn-Based,4X,War,City Builder"
648800,Raft,Strategy/Simulation,"Survival,Multiplayer,Open World Survival Craft,Co-op,Crafting,Open World,Building,Base-Building,Online Co-Op,Adventure"
394360,Hearts of Iron IV,Strategy/Simulation,"Strategy,World War II,Grand Strategy,War,Historical,Military,Alternate History,Multiplayer,Simulation,Tactical"
284160,BeamNG.drive,Strategy/Simulation,"Simulation,Driving,Physics,Realistic,Destruction,Automobile Sim,Sandbox,Open World,Racing,Moddable"
1966720,Lethal Company,Adventure,"Online Co-Op,Horror,First-Person,Co-op,Survival Horror,Exploration,Funny,Psychological Horror,Sci-fi,PvE"
620,Portal 2,Adventure,"Platformer,Puzzle,First-Person,Dark Humor,Story Rich,Puzzle-Platformer,Funny,Female Protagonist,3D Platformer,Action-Adventure"
221100,DayZ,Adventure,"Survival,Open World,Online Co-Op,Zombies,Multiplayer,Post-apocalyptic,Shooter,PvP,Massively Multiplayer,Action"
367520,Hollow Knight,Adventure,"Metroidvania,Souls-like,Platformer,Great Soundtrack,2D,Difficult,Indie,Singleplayer,Atmospheric,Exploration"
