app_id,app_name,genre_original,genre_v2,classified_by
105600,Terraria,Action,Action,auto
252490,Rust,Action,Action,auto
2358720,Black Myth: Wukong,Action,RPG,manual
1245620,ELDEN RING,Action,RPG,manual
553850,HELLDIVERS 2,Action,Action,auto
550,Left 4 Dead 2,Action,Action,auto
381210,Dead by Daylight,Action,Action,auto
739630,Phasmophobia,Action,Action,auto
1174180,Red Dead Redemption 2,Action,Action,auto
346110,ARK: Survival Evolved,Action,Action,auto
413150,Stardew Valley,RPG,Casual/Lightweight,manual
1091500,Cyberpunk 2077,RPG,RPG,auto
1086940,Baldur's Gate 3,RPG,RPG,auto
218620,PAYDAY 2,RPG,Action,manual
892970,Valheim,RPG,RPG,auto
322330,Don't Starve Together,RPG,RPG,auto
239140,Dying Light,RPG,RPG,auto
377160,Fallout 4,RPG,RPG,auto
1623730,Palworld,RPG,RPG,auto
4000,Garry's Mod,Strategy/Simulation,Strategy/Simulation,auto
227300,Euro Truck Simulator 2,Strategy/Simulation,Strategy/Simulation,auto
242760,The Forest,Strategy/Simulation,Strategy/Simulation,auto
108600,Project Zomboid,Strategy/Simulation,Strategy/Simulation,auto
251570,7 Days to Die,Strategy/Simulation,Strategy/Simulation,auto
960090,Bloons TD 6,Strategy/Simulation,Strategy/Simulation,auto
289070,Sid Meier’s Civilization VI,Strategy/Simulation,Strategy/Simulation,auto
648800,Raft,Strategy/Simulation,Strategy/Simulation,auto
394360,Hearts of Iron IV,Strategy/Simulation,Strategy/Simulation,auto
284160,BeamNG.drive,Strategy/Simulation,Strategy/Simulation,auto
1966720,Lethal Company,Adventure,Adventure,auto
620,Portal 2,Adventure,Adventure,auto
221100,DayZ,Adventure,Adventure,auto
367520,Hollow Knight,Adventure,Adventure,auto
1172620,Sea of Thieves: 2025 Edition,Adventure,Adventure,auto
275850,No Man's Sky,Adventure,Adventure,auto
814380,Sekiro: Shadows Die Twice - GOTY Edition,Adventure,Action,manual
990080,Hogwarts Legacy,Adventure,RPG,manual
264710,Subnautica,Adventure,Adventure,auto
1517290,Battlefield 2042,Adventure,Action,manual
632360,Risk of Rain 2,Casual/Indie,Casual/Lightweight,manual
1118200,People Playground,Casual/Indie,Casual/Lightweight,manual
1145360,Hades,Casual/Indie,Casual/Lightweight,manual
391540,Undertale,Casual/Indie,Casual/Lightweight,manual
261550,Mount & Blade II: Bannerlord,Casual/Indie,Casual/Lightweight,manual
1326470,Sons Of The Forest,Casual/Indie,Casual/Lightweight,manual
1144200,Ready or Not,Casual/Indie,Casual/Lightweight,manual
526870,Satisfactory,Casual/Indie,Casual/Lightweight,manual
1468810,鬼谷八荒 Tale of Immortal,Casual/Indie,Casual/Lightweight,manual
427520,Factorio,Casual/Indie,Casual/Lightweight,manual
524220,NieR:Automata,RPG,RPG,auto
1332010,Stray,Adventure,Adventure,manual
1426210,It Takes Two,Adventure,Adventure,manual
870780,Control,Adventure,Adventure,manual
1057090,Ori and the Will of the Wisps,Adventure,Adventure,manual
294100,RimWorld,Strategy/Simulation,Strategy/Simulation,manual
