appid,name,genre_category,release_date,total_reviews,positive,negative
105600,Terraria,Action,2011-05-16,1409473,1373979,35494
252490,Rust,Action,2018-02-08,1227784,1071135,156649
2358720,Black Myth: Wukong,RPG,2024-08-19,1150098,1111720,38378
1245620,ELDEN RING,RPG,2022-02-24,1056677,981540,75137
553850,HELLDIVERS 2,Action,2024-02-08,1017635,775883,241752
550,Left 4 Dead 2,Action,2009-11-16,963983,940221,23762
381210,Dead by Daylight,Action,2016-06-14,797216,630223,166993
739630,Phasmophobia,Action,2020-09-18,768779,736611,32168
1174180,Red Dead Redemption 2,Action,2019-12-05,733542,676667,56875
413150,Stardew Valley,Casual/Lightweight,2016-02-26,886195,872384,13811
1091500,Cyberpunk 2077,RPG,2020-12-09,844921,713071,131850
1086940,Baldur's Gate 3,RPG,2023-08-03,760662,736688,23974
218620,PAYDAY 2,Action,2013-08-13,663082,594327,68755
892970,Valheim,RPG,2021-02-02,499828,471451,28377
322330,Don't Starve Together,RPG,2016-04-21,499061,475393,23668
239140,Dying Light,RPG,2015-01-26,457632,435687,21945
377160,Fallout 4,RPG,2015-11-09,392287,326054,66233
1623730,Palworld,RPG,2024-01-18,380709,358266,22443
4000,Garry's Mod,Strategy/Simulation,2006-11-29,1159707,1122546,37161
227300,Euro Truck Simulator 2,Strategy/Simulation,2012-10-12,867404,844480,22924
242760,The Forest,Strategy/Simulation,2018-04-30,627791,599805,27986
251570,7 Days to Die,Strategy/Simulation,2024-07-25,370046,327889,42157
960090,Bloons TD 6,Strategy/Simulation,2018-12-17,353960,344269,9691
289070,Sid Meier’s Civilization VI,Strategy/Simulation,2016-10-20,349920,304053,45867
648800,Raft,Strategy/Simulation,2022-06-20,346359,323198,23161
394360,Hearts of Iron IV,Strategy/Simulation,2016-06-06,342150,305168,36982
284160,BeamNG.drive,Strategy/Simulation,2015-05-29,322278,313873,8405
1966720,Lethal Company,Adventure,2023-10-23,487160,473422,13738
620,Portal 2,Adventure,2011-04-18,433510,427835,5675
221100,DayZ,Adventure,2018-12-13,430252,330349,99903
367520,Hollow Knight,Adventure,2017-02-24,415946,403641,12305
1172620,Sea of Thieves: 2025 Edition,Adventure,2020-06-03,355238,317074,38164
275850,No Man's Sky,Adventure,2016-08-12,352858,293332,59526
814380,Sekiro: Shadows Die Twice - GOTY Edition,Action,2019-03-21,322234,307041,15193
990080,Hogwarts Legacy,RPG,2023-02-10,321395,289966,31429
264710,Subnautica,Adventure,2018-01-23,313707,304449,9258
1517290,Battlefield 2042,Action,2021-11-19,297774,139186,158588
632360,Risk of Rain 2,Casual/Lightweight,2020-08-11,313577,293127,20450
1118200,People Playground,Casual/Lightweight,2019-07-23,281763,277746,4017
1145360,Hades,Casual/Lightweight,2020-09-17,279741,274829,4912
391540,Undertale,Casual/Lightweight,2015-09-15,272932,264082,8850
261550,Mount & Blade II: Bannerlord,Casual/Lightweight,2022-10-25,264391,232360,32031
1326470,Sons Of The Forest,Casual/Lightweight,2024-02-22,253546,222495,31051
1144200,Ready or Not,Casual/Lightweight,2023-12-13,236196,210654,25542
526870,Satisfactory,Casual/Lightweight,2024-09-10,232064,225479,6585
1468810,鬼谷八荒 Tale of Immortal,Casual/Lightweight,2023-05-26,227104,121020,106084
1332010,Stray,Adventure,"Jul 19, 2022",156607,152312,4295
1426210,It Takes Two,Adventure,"Mar 25, 2021",218383,208042,10341
870780,Control,Adventure,"Aug 27, 2020",50448,44045,6403
1057090,Ori and the Will of the Wisps,Adventure,"Mar 10, 2020",136690,131989,4701
294100,RimWorld,Strategy/Simulation,"Oct 17, 2018",210517,206216,4301
582010,Monster Hunter: World,Action,"Aug 8, 2018",493390,434239,59151
435150,Divinity: Original Sin 2,RPG,"Sep 14, 2017",190124,182166,7958
1794680,Vampire Survivors,Casual/Lightweight,"Oct 20, 2022",250334,246479,3855
255710,Cities: Skylines,Strategy/Simulation,"Mar 10, 2015",275770,256362,19408
